,arr_delay,name
0,11.0,United Air Lines Inc.
1,20.0,United Air Lines Inc.
2,33.0,American Airlines Inc.
3,-18.0,JetBlue Airways
4,-25.0,Delta Air Lines Inc.
5,12.0,United Air Lines Inc.
6,19.0,JetBlue Airways
7,-14.0,ExpressJet Airlines Inc.
8,-8.0,JetBlue Airways
9,8.0,American Airlines Inc.
10,-2.0,JetBlue Airways
11,-3.0,JetBlue Airways
12,7.0,United Air Lines Inc.
13,-14.0,United Air Lines Inc.
14,31.0,American Airlines Inc.
15,-4.0,JetBlue Airways
16,-8.0,United Air Lines Inc.
17,-7.0,JetBlue Airways
18,12.0,Envoy Air
19,-6.0,JetBlue Airways
20,-8.0,Delta Air Lines Inc.
21,16.0,Envoy Air
22,-12.0,American Airlines Inc.
23,-8.0,Delta Air Lines Inc.
24,-17.0,United Air Lines Inc.
25,32.0,Envoy Air
26,14.0,United Air Lines Inc.
27,4.0,JetBlue Airways
28,-21.0,JetBlue Airways
29,-9.0,Delta Air Lines Inc.
30,3.0,US Airways Inc.
31,5.0,American Airlines Inc.
32,1.0,United Air Lines Inc.
33,29.0,ExpressJet Airlines Inc.
34,10.0,Envoy Air
35,0.0,US Airways Inc.
36,-3.0,American Airlines Inc.
37,29.0,United Air Lines Inc.
38,14.0,American Airlines Inc.
39,-19.0,Southwest Airlines Co.
40,-9.0,US Airways Inc.
41,12.0,ExpressJet Airlines Inc.
42,48.0,American Airlines Inc.
43,-5.0,JetBlue Airways
44,-10.0,JetBlue Airways
45,-18.0,United Air Lines Inc.
46,-11.0,US Airways Inc.
47,-9.0,United Air Lines Inc.
48,5.0,JetBlue Airways
49,-6.0,United Air Lines Inc.
50,-7.0,United Air Lines Inc.
51,-6.0,JetBlue Airways
52,11.0,JetBlue Airways
53,-33.0,Delta Air Lines Inc.
54,-9.0,Delta Air Lines Inc.
55,-8.0,Delta Air Lines Inc.
56,-18.0,Delta Air Lines Inc.
57,4.0,American Airlines Inc.
58,-10.0,American Airlines Inc.
59,27.0,Envoy Air
60,-23.0,United Air Lines Inc.
61,-14.0,Delta Air Lines Inc.
